name,value,type
Saudi Riyal,64600.02,fiat
Swedish Krona,177819.571,fiat
Singapore Dollar,23296.603,fiat
Thai Baht,594866.687,fiat
Turkish Lira,320433.095,fiat
New Taiwan Dollar,527587.317,fiat
Ukrainian hryvnia,631732.909,fiat
Venezuelan bolívar fuerte,1720.272,fiat
Vietnamese đồng,408893185.1,fiat
South African Rand,298155.117,fiat
IMF Special Drawing Rights,12971.827,fiat
Silver - Troy Ounce,731.703,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.489,crypto
Litecoin,224.408,crypto
Bitcoin Cash,156.872,crypto
Binance Coin,59.543,crypto
EOS,16589.823,crypto
XRP,44176.023,crypto
Lumens,200738.521,crypto
Chainlink,2496.579,crypto
Polkadot,3240.862,crypto
Yearn.finance,2.489,crypto
US Dollar,17175.883,fiat
United Arab Emirates Dirham,63087.021,fiat
Argentine Peso,2918669.023,fiat
Australian Dollar,25269.796,fiat
Bangladeshi Taka,1776365.595,fiat
Bahraini Dinar,6465.483,fiat
Bermudian Dollar,17175.883,fiat
Brazil Real,89967.28,fiat
Canadian Dollar,23578.194,fiat
Swiss Franc,16061.186,fiat
Chilean Peso,14803550.886,fiat
Chinese Yuan,119504.647,fiat
Czech Koruna,395768.436,fiat
Danish Krone,121296.092,fiat
Euro,16293.593,fiat
British Pound Sterling,14012.549,fiat
Hong Kong Dollar,133732.291,fiat
Hungarian Forint,6826039.812,fiat
Indonesian Rupiah,267995317.774,fiat
Israeli New Shekel,58725.206,fiat
Indian Rupee,1415999.627,fiat
Japanese Yen,2345796.145,fiat
South Korean Won,22401990.201,fiat
Kuwaiti Dinar,5269.234,fiat
Sri Lankan Rupee,6316542.943,fiat
Burmese Kyat,36094523.807,fiat
Mexican Peso,339687.457,fiat
Malaysian Ringgit,75634.005,fiat
Nigerian Naira,7622758.837,fiat
Norwegian Krone,171851.589,fiat
New Zealand Dollar,26782.922,fiat
Philippine Peso,951114.558,fiat
Pakistani Rupee,3862111.372,fiat
Polish Zloty,76476.482,fiat
Russian Ruble,1073750.421,fiat
Saudi Riyal,64583.092,fiat
Swedish Krona,177772.975,fiat
Singapore Dollar,23290.498,fiat
Thai Baht,594710.809,fiat
Turkish Lira,320349.129,fiat
New Taiwan Dollar,527449.068,fiat
Ukrainian hryvnia,631567.37,fiat
Venezuelan bolívar fuerte,1719.821,fiat
Vietnamese đồng,408786038.777,fiat
South African Rand,298076.989,fiat
IMF Special Drawing Rights,12968.427,fiat
Silver - Troy Ounce,731.511,commodity
Gold - Troy Ounce,9.556,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.487,crypto
Litecoin,224.449,crypto
Bitcoin Cash,156.87,crypto
Binance Coin,59.544,crypto
EOS,16590.658,crypto
XRP,44185.337,crypto
Lumens,200730.828,crypto
Chainlink,2496.617,crypto
Polkadot,3240.692,crypto
Yearn.finance,2.488,crypto
US Dollar,17180.49,fiat
United Arab Emirates Dirham,63103.942,fiat
Argentine Peso,2919451.837,fiat
